Region / City,Category,Entity / Organization Name,Key Decision Maker & Executive Title,Typical Check Size & Capacity,Verified Contact Email / Direct Application Portal,Website / Investment Portal Link,Custom Strategic Pitch Hook for FlockML
"Dubai, UAE",Regional Deep-Tech VC,Nuwa Capital,Khaled Talhouni & Sarah Abu Risheh (Managing Partners),$1M - $4M (Seed/Series A Check),hello@nuwacapital.io,nuwacapital.io,Tech venture builder and investor backing novel software execution environments.
"Dubai, UAE",Regional Deep-Tech VC,Middle East Venture Partners (MEVP),Walid Hanna (Founder & Co-CEO),$1M - $5M (Direct VC Check),info@mevp.com,mevp.com,"Large MENA VC fund backing enterprise platforms, AI models, and infrastructure."
"Dubai, UAE",Regional Deep-Tech VC,Iliad Partners,Christos Mastoras (Founder & Managing Partner),$500k - $2M (Direct Seed Check),info@iliad-partners.com,iliad-partners.com,Early-stage B2B software and tech infrastructure across UAE and GCC.
"Dubai, UAE",Regional Deep-Tech VC,Global Ventures,Noor Sweid (Managing Partner),$1M - $4M (Venture Check),info@global.vc,global.vc,"Enterprise technology, digital transformation, and cross-border deep-tech expansion."
"Dhahran / Riyadh, Saudi Arabia",Energy Conglomerate VC,Prosperity7 Ventures (Aramco Ventures),Aysar Tayeb (Executive Managing Director),$2M - $20M (Direct Growth Check),info@prosperity7vc.com,prosperity7vc.com,"$1B+ venture fund of Saudi Aramco investing in foundational deep tech, edge computing, and green AI."
"Dhahran, Saudi Arabia",Energy Conglomerate VC,Wa'ed Ventures (Aramco Entrepreneurship),Fahad Alidi (Managing Director),$1M - $10M (Fast Venture Check),contactus@waed.net,waed.net,"$500M Aramco-backed venture fund prioritizing sovereign compute, local data residency, and energy-efficient ML."
"Riyadh, Saudi Arabia",Sovereign Wealth Fund (SWF),Public Investment Fund (PIF - Technology Division),Yasir Al-Rumayyan (Governor),$10M - $100M+ (Sovereign Check),info@pif.gov.sa,pif.gov.sa,"Anchor investor for Saudi Vision 2030, establishing sovereign AI compute grids without foreign cloud lock-in."
"Riyadh, Saudi Arabia",Sovereign Wealth Fund (SWF),Sanabil Investments (PIF VC Arm),Bander Al-Gheshayan (Head of VC & Tech),$3M - $25M (Direct Tech Lead),info@sanabil.com,sanabil.com,"Direct $2B+ annual venture deployment into deep-tech infrastructure, Wasm runtimes, and developer primitives."
"Riyadh, Saudi Arabia",Sovereign Tech Program,National Technology Development Program (NTDP),Ibrahim Niaz (CEO),$100k - $1M (Non-Dilutive Grant + Equity),info@ntdp.gov.sa,ntdp.gov.sa,Saudi government fund offering up to $1M in equity-free grants and compute subsidies for relocated AI protocols.
"Riyadh, Saudi Arabia",Regional Deep-Tech VC,STV (Saudi Technology Ventures),Abdulrahman Tarabzouni (Founder & CEO),$2M - $10M (Growth/Seed Check),contact@stv.vc,stv.vc,$500M fund backed by STC investing in sovereign digital infrastructure and distributed platforms.
"Riyadh, Saudi Arabia",UHNW Conglomerate Office,Olayan Group (Al-Olayan Financing Co),Lubna Olayan (Chair of Executive Committee),$2M - $10M (Discreet Family Allocation),info@olayan.com,olayan.com,"Multibillion-dollar family office investing globally in deep tech, compilers, and enterprise software."
"Riyadh, Saudi Arabia",UHNW Conglomerate Office,Al-Rajhi Family Office (Tech Division),Abdullah Sulaiman Al-Rajhi (Chairman),$1M - $5M (Direct Family Signoff),info@alrajhi-capital.com,alrajhibank.com.sa,Leading Saudi banking family office deploying into privacy-preserving fintech and edge AI.
"Dammam, Saudi Arabia",UHNW Conglomerate Office,Al-Muhaidib Group Tech Ventures,Sulaiman Al-Muhaidib (Chairman),$500k - $2.5M (Private Check),info@muhaidib.com,muhaidib.com,Conglomerate family office backing supply-chain edge analytics and decentralized systems.
"Riyadh, Saudi Arabia",UHNW Conglomerate Office,Al-Falih Family Office,Khalid Al-Falih (Minister of Investment / Former Aramco CEO),$500k - $3M (Private Check),info@misa.gov.sa,misa.gov.sa,Private family allocation targeting sovereign compute infrastructure and industrial automation.
"Riyadh, Saudi Arabia",Deep Tech Studio & VC,Beta Lab (Saudi-US Deep Tech Studio),Abdulrahman Alolayan (CEO),$500k - $2M (Deep Tech Seed Check),info@betalab.am,betalab.am,"Deep-tech venture studio backed by Saudi Ministry of Investment funding hardware, AI, and systems tech."
"Riyadh, Saudi Arabia",Regional Deep-Tech VC,Rua Growth Fund,Turki Aljoaib (Managing Partner),$1M - $3M (Seed/Series A Lead),info@ruagrowth.com,ruagrowth.com,Tech-focused institutional venture capital firm investing in high-barrier software platforms.
"Riyadh, Saudi Arabia",Regional Deep-Tech VC,Impact46,Abdulaziz Alomran (Founder & CEO),$1M - $5M (Agile VC Check),info@impact46.com,impact46.com,Authorized asset manager and VC firm deploying into early-stage deep-tech and fintech.
Riyadh / Dubai,Regional Deep-Tech VC,Outliers Venture Capital,Mohammed Almeshekah (Founding Partner),$500k - $2M (Fast Founder Check),info@outliers.vc,outliers.vc,Early-stage tech VC backing technical founders building fundamental software primitives.
"Doha, Qatar",Sovereign Wealth Fund (SWF),Qatar Investment Authority (QIA - Tech Ventures),Mansoor Ebrahim Al-Mahmoud (CEO) & Mohammed Al-Sowaidi,$5M - $50M (Sovereign Allocation),contact@qia.qa,qia.qa,"Deploying into deep-tech compute architectures, enterprise data protection, and sovereign AI software."
"Doha, Qatar",Sovereign Tech Incubator,Qatar Science & Technology Park (QSTP Tech Venture Fund),Yosouf Al-Salehi (Executive Director),$500k - $2M (Direct Sovereign Seed),qstpinfo@qstp.org.qa,qstp.org.qa,"Dedicated deep-tech innovation fund backing AI, computing runtimes, and local research commercialization."
"Kuwait City, Kuwait",Sovereign Wealth Fund (SWF),Kuwait Investment Authority (KIA - CVC Tech Arm),Ghanem Al-Ghenaiman (Managing Director),$5M - $30M (Direct Allocation),info@kia.gov.kw,kia.gov.kw,Global sovereign allocator backing capital-efficient software infrastructure replacing high-cost data centers.
"Kuwait City, Kuwait",UHNW Conglomerate Office,Alghanim Industries Tech Office,Kutayba Alghanim & Omar Alghanim,$1M - $5M (Direct Check),info@alghanim.com,alghanim.com,Kuwaiti conglomerate family office backing global developer platforms and edge runtimes.
"Manama, Bahrain",Energy Conglomerate VC,Bapco Energies Tech Ventures,Mark Thomas (Group CEO),$1M - $5M (Energy Tech Check),info@bapcoenergies.com,bapcoenergies.com,National energy holding investment vehicle targeting energy-efficient computing and sensor ML.
"Manama, Bahrain",Sovereign Wealth Fund (SWF),Bahrain Mumtalakat Holding Company,Shaikh Abdulla bin Khalifa Al Khalifa (CEO),$2M - $10M (Direct Sovereign Check),info@mumtalakat.bh,mumtalakat.bh,National SWF investing in digital infrastructure and enterprise software across the GCC.
"Manama, Bahrain",UHNW Conglomerate Office,Al-Zayani Investments,Nawaf Al-Zayani (Chairman),$500k - $2M (Direct Check),info@alzayani.com,alzayani.com,"Automotive, industrial telemetry, and edge-native ML model training."
Manama / Dubai,UHNW Conglomerate Office,Kanoo Group Family Office,Fawzi Ahmed Kanoo (Chairman),$500k - $3M (Private Family Check),info@kanoo.com,kanoo.com,Regional commercial powerhouse investing in industrial edge software and shipping logistics AI.
"Muscat, Oman",Sovereign Wealth Fund (SWF),Oman Investment Authority (OIA - Future Fund Oman),Abdulsalam Al Murshidi (President),$2M - $15M (Sovereign Co-Investment),info@oia.gov.om,oia.gov.om,"Newly launched $5.2B Future Fund targeting AI localization, edge computing, and green energy technology."
"Muscat, Oman",Energy Conglomerate VC,OQ Alternative Energy & Tech Fund,"Mulham Al Jarf (Chairman, OQ Group)",$1M - $5M (Energy Innovation Check),info@oq.com,oq.com,National energy conglomerate venture arm deploying into zero-carbon AI compute and distributed IoT models.
"Dubai, UAE",Founder Angel,Souq.com / Amazon MENA,Ronaldo Mouchawar (Co-Founder & VP Amazon MENA),$100k - $500k (Fast Angel Check),ronaldo@souq.com,amazon.ae,Pioneer of Middle East tech; backs scalable developer tools and edge computing architectures.
"Dubai, UAE",Founder Angel,Careem / Careem Angels,Mudassir Sheikha (Co-Founder & CEO),$100k - $500k (Direct Founder Check),mudassir@careem.com,careem.com,"High-concurrency distributed platforms, edge dispatch algorithms, and consumer-side AI."
"Dubai, UAE",Founder Angel,Careem / Tech Angel,Magnus Olsson (Co-Founder & Chief Experience Officer),$100k - $300k (Fast Angel Check),magnus@careem.com,careem.com,Client-side user experience optimization and low-latency browser runtime technologies.
Riyadh / Dubai,Founder Angel,Careem Saudi / Angel Investor,"Dr. Abdulla Elyas (Co-Founder, Careem)",$100k - $400k (Direct Check),abdulla.elyas@careem.com,careem.com,Saudi tech ecosystem expansion and localized sovereign edge AI models.
"Dubai, UAE",Founder Angel,Tabby / Ex-Namshi,Hosam Arab (Co-Founder & CEO),$100k - $300k (Fast Angel Check),hosam@tabby.ai,tabby.ai,Privacy-preserving consumer analytics and on-device machine learning for fintech.
"Dubai, UAE",Operator Angel,Careem / Seed Angel,"Ankur Shah (Partner & Ex-CFO, Careem)",$50k - $250k (Direct Check),ankur@careem.com,careem.com,Capital-efficient unit economics and high-margin software infrastructure.
Kuwait / Dubai,UHNW Tech Angel,Zain Group,Bader Al-Kharafi (Vice Chairman & Group CEO),$250k - $1M (Direct Private Check),bader.alkharafi@zain.com,zain.com,Telecom-scale edge computing and lightweight neural networks for mobile networks.
"Dubai, UAE",Operator Angel,Careem / Tech Angel,"Ibrahim Manna (Managing Director, Careem)",$50k - $200k (Fast Check),ibrahim.manna@careem.com,careem.com,Operational automation and distributed edge node coordination across MENA.
"Dubai, UAE",Early-Stage Seed Angel,COTU Ventures,Amir Farha (Founder & Managing Partner),$250k - $1M (Pre-Seed/Seed Lead),amir@cotuvc.com,cotuvc.com,First-check conviction investor backing technical founders building fundamental software moats.
"Dubai, UAE",Angel Network Lead,Dubai Angel Investors (DAI),Abdullah Mutawi (Co-Founder & Chairman),$100k - $500k (Syndicate Fast Signoff),info@dubaiangelinvestors.com,dubaiangelinvestors.com,Premier Dubai angel syndicate backing deep-tech and developer-first platforms.
"Dubai, UAE",Systems Angel,Dubai Angel Investors / Ex-Microsoft,Bashar Al-Khasawneh (Board Member & Angel),$50k - $200k (Technical Signoff),bashar@dubaiangelinvestors.com,dubaiangelinvestors.com,"Enterprise software systems, low-level compilers, and distributed WebAssembly runtimes."
"Dubai, UAE",Media & Tech Angel,STEP Group,Ray Dargham (Co-Founder & CEO),$50k - $150k (Direct Check),ray@stepgroup.cc,stepconference.com,High-growth developer ecosystem and technical founder amplification across MENA.
"Dubai, UAE",Deep Tech Angel,Falcon Capital,Kamel Zeroual (Managing Partner),$100k - $400k (Technical Check),kamel@falconcapital.ae,falconcapital.ae,"Deep-tech compute architectures, decentralized networks, and AI hardware alternatives."
Dubai / Paris,Early-Stage Tech Angel,Comma Capital / MIT Pan Arab,Hala Fadel (Managing Partner),$100k - $300k (Direct Angel Check),hala@commacapital.com,commacapital.com,Cross-border deep tech and mathematical algorithmic innovation.
"Dubai, UAE",Operator Angel,Avantcha / Ex-ChefXChange,Karl Naim (Co-Founder & CEO),$50k - $150k (Fast Check),karl@avantcha.com,karlnaim.com,Agile early-stage consumer tech and client-side optimization.
"Dubai, UAE",Founder Angel,Property Finder,Michael Lahyani (Founder & CEO),$100k - $500k (Direct Founder Check),michael@propertyfinder.ae,propertyfinder.ae,High-traffic web platforms and browser-based machine learning models.
"Dubai, UAE",PropTech & AI Angel,Property Finder,Tarek Sakr (Co-Founder & Board Member),$100k - $300k (Fast Check),tarek@propertyfinder.ae,propertyfinder.ae,Spatial computing and distributed on-device image processing via WebAssembly.
"Dubai, UAE",Angel Syndicate Lead,Dubai Angel Investors,Alex Nicholls (Head of Investments),$100k - $400k (Syndicate Signoff),alex@dubaiangelinvestors.com,dubaiangelinvestors.com,Structured angel syndicate allocation for cross-border software protocols.
"Dubai, UAE",FinTech Founder Angel,Souqalmal,Ambareen Musa (Founder & CEO),$50k - $200k (Direct Check),ambareen@souqalmal.com,souqalmal.com,Privacy-preserving consumer financial models and local data sovereignty.
"Dubai, UAE",E-Commerce Founder Angel,Mumzworld,Mona Ataya (Founder & CEO),$100k - $300k (Direct Check),mona@mumzworld.com,mumzworld.com,Large-scale digital platforms and edge recommendation architectures.
"Dubai, UAE",FinTech & Systems Angel,Telr / Ex-PayPal,Sirish Kumar (Founder & Tech Angel),$50k - $250k (Technical Check),sirish@telr.com,telr.com,"Low-latency payment security, edge computing, and fraud detection running in Wasm."
"Dubai, UAE",Early-Stage Venture Angel,Wamda / Angel,Fares Ghandour (Partner & Angel),$50k - $200k (Direct Check),fares@wamda.com,wamdacapital.com,"Early-stage software tooling, WebAssembly sandboxing, and developer primitives."
"Dubai, UAE",Telecom & IoT Systems Angel,Du Telecom,Samer Geissah (Senior VP of Innovation),$50k - $200k (Technical Check),samer.geissah@du.ae,du.ae,"5G edge computing, connected IoT devices, and distributed model training on telecom endpoints."
Kuwait / Dubai,Media Tech Angel,Forbes Middle East Tech,Yousif Al-Mutawa (Tech Founder & Angel),$50k - $200k (Fast Check),yousif@forbesmiddleeast.com,forbesmiddleeast.com,High-visibility tech platform backing and regional enterprise syndicate introductions.
Kuwait / Dubai,Conglomerate Angel,KIPCO (Kuwait Projects Co),Faisal Al-Ayyar (Executive Vice Chairman),$250k - $1M (Direct Private Check),info@kipco.com,kipco.com,Enterprise software and data center cost-reduction technologies across Gulf holdings.
Riyadh / Dubai,Deep Tech & Green AI Angel,KBW Ventures,Prince Khaled bin Alwaleed bin Talal (Founder & CEO),$250k - $1M (Direct Tech Check),info@kbw-ventures.com,kbw-ventures.com,"Energy-efficient computing, green AI infrastructure, and decentralized compute grids."
"Riyadh, Saudi Arabia",Smart City & Deep Tech Angel,NEOM Tech & Digital,"Rayan Fayez (Deputy CEO, NEOM)",$100k - $500k (Direct Check),info@neom.com,neom.com,Zero-server-cost sovereign compute layers and edge AI across NEOM smart city nodes.
"Riyadh, Saudi Arabia",Telecom Infrastructure Angel,STC (Former Group CEO),Nasser Al-Nasser (Private Angel Office),$100k - $500k (Direct Check),nasser.alnasser@stc.com.sa,stc.com.sa,Edge computing infrastructure across national telecommunications networks.
Manama / Dubai,Sovereign Financier Angel,SKS Ventures / Ex-Mumtalakat,Talal Al-Zain (Founder & CEO),$100k - $400k (Direct Check),talal@sksventures.com,sksventures.com,Capital-efficient deep tech and cross-border software platforms.
"Dubai, UAE",Web3 & Decentralized Angel,Woodstock Fund,Pranav Sharma & Himanshu Yadav (Founding Partners),$100k - $500k (Agile Check),info@woodstockfund.com,woodstockfund.com,"Decentralized physical infrastructure (DePIN), peer-to-peer compute grids, and edge AI networks."
